t ke gpe dissipation
0 1.58193e-05 1.59131e-05 0.00109216
7.56303e-06 1.64997e-05 1.58671e-05 0.000793738
2.40847e-05 1.65878e-05 1.58574e-05 0.000506075
4.21343e-05 1.66238e-05 1.58552e-05 0.000402534
6.13156e-05 1.66388e-05 1.58543e-05 0.000356684
8.15286e-05 1.66632e-05 1.58519e-05 0.000326164
0.000102688 1.66693e-05 1.58508e-05 0.000305157
0.000124701 1.66665e-05 1.58508e-05 0.000288557
0.000147486 1.66619e-05 1.58508e-05 0.000274796
0.000170978 1.66587e-05 1.58508e-05 0.000263967
0.000195107 1.66542e-05 1.58508e-05 0.000252081
0.000219813 1.66509e-05 1.58508e-05 0.000243834
0.000245061 1.66472e-05 1.58508e-05 0.000234309
0.000270792 1.66433e-05 1.58508e-05 0.000227273
0.00029689 1.66389e-05 1.58508e-05 0.000219242
0.000323256 1.66352e-05 1.58508e-05 0.000212289
0.000349871 1.66317e-05 1.58509e-05 0.000206284
0.000376717 1.66271e-05 1.58509e-05 0.000199808
0.000403775 1.66227e-05 1.58509e-05 0.000192902
0.000431025 1.66187e-05 1.58509e-05 0.000187094
0.000458444 1.66145e-05 1.58509e-05 0.000181231
0.000486035 1.66103e-05 1.58509e-05 0.000175461
0.00051375 1.66064e-05 1.58509e-05 0.000170027
0.000541591 1.66025e-05 1.58509e-05 0.000165266
0.000569558 1.65987e-05 1.58509e-05 0.000160911
0.000597628 1.65948e-05 1.58509e-05 0.000156491
0.000625801 1.65912e-05 1.58509e-05 0.00015229
0.000654052 1.65878e-05 1.58509e-05 0.000148775
0.000682382 1.65842e-05 1.58509e-05 0.000145671
0.000710791 1.65806e-05 1.58509e-05 0.000142106
0.000739252 1.65773e-05 1.58509e-05 0.000138685
0.000767794 1.65741e-05 1.5851e-05 0.000135433
0.000796388 1.65709e-05 1.5851e-05 0.000132662
0.000825037 1.65676e-05 1.5851e-05 0.000129634
0.000853713 1.65645e-05 1.5851e-05 0.000126438
0.000882443 1.65616e-05 1.5851e-05 0.000123663
0.0009112 1.65586e-05 1.5851e-05 0.000121459
0.000939985 1.65555e-05 1.5851e-05 0.000118893
0.000968796 1.65526e-05 1.5851e-05 0.000115999
0.000997636 1.655e-05 1.58511e-05 0.000113745
0.0010265 1.65473e-05 1.58511e-05 0.000112239
0.0010554 1.65444e-05 1.58511e-05 0.000110202
0.00108432 1.65416e-05 1.58511e-05 0.000107522
0.00111327 1.65393e-05 1.58511e-05 0.000105923
0.00114222 1.65366e-05 1.58511e-05 0.000104001
0.0011712 1.6534e-05 1.58511e-05 0.000101849
0.00120017 1.65316e-05 1.58511e-05 0.000100011
0.00122918 1.65293e-05 1.58512e-05 9.87452e-05
0.00125818 1.65267e-05 1.58512e-05 9.70466e-05
0.00128722 1.65244e-05 1.58512e-05 9.55929e-05
0.00131625 1.65221e-05 1.58512e-05 9.42287e-05
0.00134529 1.65199e-05 1.58512e-05 9.28424e-05
0.00137435 1.65177e-05 1.58512e-05 9.14168e-05
0.00140341 1.65155e-05 1.58512e-05 9.00593e-05
0.00143247 1.65133e-05 1.58513e-05 8.8797e-05
0.00146159 1.65112e-05 1.58513e-05 8.75474e-05
0.00149079 1.65091e-05 1.58513e-05 8.62795e-05
0.00152003 1.6507e-05 1.58513e-05 8.50526e-05
0.00154932 1.6505e-05 1.58513e-05 8.39256e-05
0.00157867 1.6503e-05 1.58513e-05 8.27344e-05
0.00160804 1.6501e-05 1.58513e-05 8.1524e-05
0.00163745 1.64991e-05 1.58514e-05 8.03508e-05
0.00166689 1.64972e-05 1.58514e-05 7.92245e-05
0.00169638 1.64953e-05 1.58514e-05 7.82113e-05
0.00172591 1.64934e-05 1.58514e-05 7.72701e-05
0.00175546 1.64915e-05 1.58514e-05 7.63523e-05
0.00178501 1.64897e-05 1.58514e-05 7.54206e-05
0.0018146 1.64879e-05 1.58514e-05 7.45259e-05
0.0018443 1.64861e-05 1.58515e-05 7.36886e-05
0.00187409 1.64844e-05 1.58515e-05 7.28576e-05
0.00190398 1.64826e-05 1.58515e-05 7.1981e-05
0.00193395 1.64809e-05 1.58515e-05 7.12322e-05
0.00196399 1.64792e-05 1.58515e-05 7.05644e-05
0.00199409 1.64776e-05 1.58516e-05 6.9893e-05
0.00202428 1.64759e-05 1.58516e-05 6.90627e-05
0.0020545 1.64743e-05 1.58516e-05 6.83489e-05
0.00208479 1.64726e-05 1.58516e-05 6.76286e-05
0.00211514 1.6471e-05 1.58516e-05 6.69152e-05
0.00214552 1.64694e-05 1.58516e-05 6.62308e-05
0.00217593 1.64679e-05 1.58517e-05 6.5553e-05
0.00220637 1.64663e-05 1.58517e-05 6.48283e-05
0.00223688 1.64648e-05 1.58517e-05 6.41253e-05
0.00226742 1.64633e-05 1.58517e-05 6.34308e-05
0.00229796 1.64618e-05 1.58517e-05 6.27287e-05
0.00232853 1.64603e-05 1.58517e-05 6.20206e-05
0.00235914 1.64589e-05 1.58518e-05 6.13228e-05
0.00238978 1.64575e-05 1.58518e-05 6.06713e-05
0.00242041 1.6456e-05 1.58518e-05 6.00984e-05
0.00245108 1.64546e-05 1.58518e-05 5.95941e-05
0.00248179 1.64532e-05 1.58518e-05 5.91485e-05
0.00251249 1.64519e-05 1.58519e-05 5.87274e-05
0.00254322 1.64505e-05 1.58519e-05 5.82723e-05
0.00257396 1.64491e-05 1.58519e-05 5.77495e-05
0.00260473 1.64478e-05 1.58519e-05 5.72211e-05
0.0026355 1.64465e-05 1.58519e-05 5.67418e-05
0.00266626 1.64452e-05 1.58519e-05 5.62805e-05
0.00269703 1.64439e-05 1.5852e-05 5.57787e-05
0.00272783 1.64426e-05 1.5852e-05 5.52482e-05
0.00275863 1.64414e-05 1.5852e-05 5.47278e-05
0.00278944 1.64401e-05 1.5852e-05 5.42164e-05
0.00282024 1.64389e-05 1.5852e-05 5.37035e-05
0.00285104 1.64377e-05 1.58521e-05 5.32341e-05
0.00288184 1.64365e-05 1.58521e-05 5.28262e-05
0.00291264 1.64353e-05 1.58521e-05 5.2455e-05
0.00294344 1.64341e-05 1.58521e-05 5.21247e-05
0.00297421 1.64329e-05 1.58521e-05 5.18441e-05
0.00300498 1.64318e-05 1.58522e-05 5.1556e-05
0.00303575 1.64306e-05 1.58522e-05 5.11967e-05
0.00306652 1.64295e-05 1.58522e-05 5.08274e-05
0.00309725 1.64284e-05 1.58522e-05 5.04732e-05
0.00312798 1.64273e-05 1.58522e-05 5.00862e-05
0.00315869 1.64262e-05 1.58522e-05 4.963e-05
0.00318939 1.64251e-05 1.58523e-05 4.9199e-05
0.00322009 1.6424e-05 1.58523e-05 4.88268e-05
0.00325079 1.6423e-05 1.58523e-05 4.8476e-05
0.00328146 1.64219e-05 1.58523e-05 4.80865e-05
0.00331212 1.64209e-05 1.58523e-05 4.77288e-05
0.00334279 1.64199e-05 1.58524e-05 4.7421e-05
0.00337346 1.64189e-05 1.58524e-05 4.71294e-05
0.00340412 1.64178e-05 1.58524e-05 4.68181e-05
0.00343479 1.64168e-05 1.58524e-05 4.65672e-05
0.00346542 1.64159e-05 1.58524e-05 4.63753e-05
0.00349606 1.64149e-05 1.58525e-05 4.6189e-05
0.00352669 1.64139e-05 1.58525e-05 4.5953e-05
0.00355733 1.6413e-05 1.58525e-05 4.56876e-05
0.00358796 1.6412e-05 1.58525e-05 4.54019e-05
0.00361859 1.64111e-05 1.58525e-05 4.50809e-05
0.00364923 1.64101e-05 1.58526e-05 4.47486e-05
0.00367986 1.64092e-05 1.58526e-05 4.44318e-05
0.00371049 1.64083e-05 1.58526e-05 4.41411e-05
0.00374113 1.64074e-05 1.58526e-05 4.38569e-05
0.00377173 1.64065e-05 1.58526e-05 4.3586e-05
0.00380233 1.64056e-05 1.58526e-05 4.33658e-05
