t ke gpe dissipation
0 0.0112813 0.125147 0.421799
6.98841e-06 0.011278 0.125147 0.443986
2.22363e-05 0.0112779 0.125147 0.459633
3.8586e-05 0.0112779 0.125147 0.462452
5.59256e-05 0.0112778 0.125147 0.463901
7.41785e-05 0.0112778 0.125147 0.464558
9.32462e-05 0.0112777 0.125147 0.464799
0.000113066 0.0112777 0.125147 0.464903
0.000133564 0.0112776 0.125147 0.464938
0.000154675 0.0112776 0.125147 0.464932
0.000176344 0.0112776 0.125147 0.464879
0.000198523 0.0112775 0.125147 0.46485
0.000221172 0.0112775 0.125147 0.464771
0.000244242 0.0112774 0.125147 0.464702
0.000267696 0.0112774 0.125147 0.464627
0.00029151 0.0112774 0.125147 0.464516
0.00031564 0.0112773 0.125147 0.464436
0.000340055 0.0112773 0.125147 0.464357
0.000364743 0.0112772 0.125147 0.464256
0.000389671 0.0112772 0.125147 0.464144
0.000414802 0.0112772 0.125147 0.464056
0.000440139 0.0112771 0.125147 0.463975
0.000465665 0.0112771 0.125147 0.463852
0.000491361 0.011277 0.125147 0.463747
0.000517209 0.011277 0.125147 0.463639
0.000543187 0.011277 0.125147 0.463523
0.000569299 0.0112769 0.125147 0.463399
0.000595521 0.0112769 0.125147 0.463271
0.000621834 0.0112768 0.125147 0.463141
0.000648261 0.0112768 0.125147 0.463009
0.000674756 0.0112768 0.125147 0.462866
0.000701343 0.0112767 0.125147 0.46272
0.000728 0.0112767 0.125147 0.462575
0.000754726 0.0112766 0.125147 0.462427
0.0007815 0.0112766 0.125147 0.462273
0.000808345 0.0112765 0.125147 0.462123
0.000835237 0.0112765 0.125147 0.46197
0.000862176 0.0112765 0.125147 0.461815
0.000889164 0.0112764 0.125147 0.461643
0.000916175 0.0112764 0.125147 0.46148
0.000943235 0.0112763 0.125147 0.461314
0.000970318 0.0112763 0.125147 0.461151
0.000997426 0.0112763 0.125147 0.46098
0.00102456 0.0112762 0.125147 0.460805
0.00105174 0.0112762 0.125147 0.460637
0.00107892 0.0112761 0.125147 0.460471
0.00110613 0.0112761 0.125147 0.460294
0.00113336 0.0112761 0.125147 0.460111
0.00116061 0.011276 0.125147 0.459941
0.00118789 0.011276 0.125147 0.459769
0.00121517 0.0112759 0.125147 0.459582
0.00124248 0.0112759 0.125147 0.459393
0.00126978 0.0112759 0.125147 0.459218
0.00129711 0.0112758 0.125147 0.45904
0.00132444 0.0112758 0.125147 0.458847
0.00135179 0.0112757 0.125147 0.458654
0.00137915 0.0112757 0.125147 0.458477
0.00140653 0.0112757 0.125147 0.458294
0.00143391 0.0112756 0.125147 0.458098
0.00146128 0.0112756 0.125147 0.457905
0.00148869 0.0112755 0.125147 0.457724
0.00151609 0.0112755 0.125147 0.457541
0.0015435 0.0112755 0.125147 0.457341
0.0015709 0.0112754 0.125147 0.457146
0.00159833 0.0112754 0.125147 0.456962
0.00162576 0.0112753 0.125147 0.456772
0.00165297 0.0112753 0.125147 0.456575
0.00168017 0.0112753 0.125147 0.456381
0.00170737 0.0112752 0.125147 0.45619
0.00173458 0.0112752 0.125147 0.456
0.00176178 0.0112751 0.125147 0.455802
0.00178898 0.0112751 0.125147 0.455607
0.00181618 0.0112751 0.125147 0.455412
0.00184336 0.011275 0.125147 0.455217
0.00187054 0.011275 0.125147 0.455018
0.00189772 0.011275 0.125147 0.454823
0.0019249 0.0112749 0.125147 0.454626
0.00195207 0.0112749 0.125147 0.454428
0.00197925 0.0112748 0.125147 0.454229
0.00200643 0.0112748 0.125147 0.454033
0.00203361 0.0112748 0.125147 0.453836
0.00206079 0.0112747 0.125147 0.453639
0.00208796 0.0112747 0.125147 0.45344
0.00211514 0.0112746 0.125147 0.453243
0.00214232 0.0112746 0.125147 0.453047
0.0021695 0.0112746 0.125147 0.452851
0.00219668 0.0112745 0.125147 0.452652
0.00222386 0.0112745 0.125147 0.452456
0.00225101 0.0112745 0.125147 0.452259
0.00227816 0.0112744 0.125147 0.452064
0.00230531 0.0112744 0.125147 0.451866
0.00233247 0.0112743 0.125147 0.451671
0.00235962 0.0112743 0.125147 0.451474
0.00238677 0.0112743 0.125147 0.451277
0.00241392 0.0112742 0.125147 0.451077
0.00244108 0.0112742 0.125147 0.450877
0.00246823 0.0112741 0.125147 0.450677
0.00249538 0.0112741 0.125147 0.450478
0.00252253 0.0112741 0.125147 0.450278
0.00254969 0.011274 0.125147 0.450081
0.00257684 0.011274 0.125147 0.449883
0.00260399 0.011274 0.125147 0.449687
0.00263114 0.0112739 0.125147 0.44949
0.0026583 0.0112739 0.125147 0.449292
0.00268545 0.0112738 0.125147 0.449096
0.0027126 0.0112738 0.125147 0.4489
0.00273975 0.0112738 0.125147 0.448704
0.00276691 0.0112737 0.125147 0.448509
0.00279406 0.0112737 0.125147 0.448315
0.00282121 0.0112737 0.125147 0.448118
0.00284837 0.0112736 0.125147 0.44792
0.00287552 0.0112736 0.125147 0.447725
0.00290267 0.0112735 0.125147 0.447528
0.00292982 0.0112735 0.125147 0.447331
0.00295695 0.0112735 0.125147 0.447132
0.00298408 0.0112734 0.125147 0.446936
0.0030112 0.0112734 0.125147 0.44674
0.00303833 0.0112734 0.125147 0.446545
0.00306546 0.0112733 0.125147 0.446349
0.00309258 0.0112733 0.125147 0.446156
0.00311971 0.0112732 0.125147 0.445962
0.00314684 0.0112732 0.125147 0.445768
0.00317396 0.0112732 0.125147 0.445575
0.00320111 0.0112731 0.125147 0.445382
0.00322827 0.0112731 0.125147 0.445188
0.00325542 0.0112731 0.125147 0.444995
0.00328257 0.011273 0.125147 0.444801
0.00330973 0.011273 0.125147 0.44461
0.00333688 0.0112729 0.125147 0.444417
0.00336403 0.0112729 0.125147 0.444225
0.00339118 0.0112729 0.125147 0.444031
0.00341831 0.0112728 0.125147 0.443839
0.00344544 0.0112728 0.125147 0.443646
