t ke gpe dissipation
0 0.00761361 0.125147 0.651639
9.17523e-05 0.00761269 0.125147 0.684374
0.000247544 0.00761231 0.125147 0.69539
0.000399516 0.00761045 0.125147 0.699614
0.000489722 0.00760944 0.125147 0.699404
0.000579929 0.00760873 0.125147 0.698583
0.000670668 0.00760816 0.125147 0.697748
0.000762498 0.0076079 0.125147 0.697023
0.000855448 0.00760763 0.125147 0.696569
0.000945639 0.0076074 0.125147 0.696751
0.00103583 0.00760722 0.125147 0.696642
0.00112341 0.00760707 0.125147 0.696872
0.00121099 0.0076069 0.125147 0.696801
0.00129856 0.00760673 0.125147 0.696761
0.00138614 0.00760657 0.125147 0.696762
0.00147372 0.00760639 0.125147 0.69666
0.00156129 0.00760621 0.125147 0.69649
0.00164887 0.00760603 0.125147 0.696368
0.00173645 0.00760585 0.125147 0.696236
0.00182403 0.00760566 0.125147 0.696135
0.0019116 0.00760548 0.125147 0.696039
0.00199918 0.0076053 0.125147 0.695919
0.00208676 0.00760512 0.125147 0.69578
0.00217434 0.00760493 0.125147 0.695664
0.00226191 0.00760475 0.125147 0.695569
0.00234949 0.00760456 0.125147 0.695481
0.00243707 0.00760438 0.125147 0.695402
0.00252465 0.0076042 0.125147 0.69532
0.00261222 0.00760401 0.125147 0.695236
0.0026998 0.00760383 0.125147 0.695148
0.00278738 0.00760365 0.125147 0.695068
0.00287495 0.00760347 0.125147 0.695006
0.00296253 0.00760328 0.125147 0.694941
0.00305011 0.0076031 0.125147 0.694881
0.00313769 0.00760292 0.125147 0.694817
0.00322526 0.00760273 0.125147 0.694758
0.00331284 0.00760255 0.125147 0.694696
0.00340042 0.00760237 0.125147 0.694644
0.003488 0.00760218 0.125147 0.694591
0.00357557 0.007602 0.125147 0.694537
0.00366315 0.00760181 0.125147 0.694482
0.00375073 0.00760163 0.125147 0.694425
0.0038383 0.00760145 0.125147 0.694374
0.00392588 0.00760126 0.125147 0.694326
0.00401346 0.00760108 0.125147 0.694272
0.00410104 0.0076009 0.125147 0.694224
0.00418861 0.00760071 0.125147 0.694172
0.00427619 0.00760053 0.125147 0.694125
0.00436377 0.00760035 0.125147 0.694083
0.00445135 0.00760016 0.125147 0.694037
0.00453892 0.00759998 0.125147 0.693987
0.00462679 0.0075998 0.125147 0.693943
0.00471613 0.00759961 0.125147 0.693899
0.00480669 0.00759942 0.125147 0.693849
0.0048985 0.00759923 0.125147 0.6938
0.00499129 0.00759904 0.125147 0.693743
0.00508507 0.00759885 0.125147 0.693692
