t ke gpe dissipation
0 1.83092e-05 1.58652e-05 0.00531668
2.28889e-06 2.45119e-05 1.58521e-05 0.00561007
6.69952e-06 2.45752e-05 1.58512e-05 0.00545866
1.19276e-05 2.48038e-05 1.5851e-05 0.00529192
1.78337e-05 2.48046e-05 1.58509e-05 0.00510525
2.43471e-05 2.47769e-05 1.58509e-05 0.00491453
3.14118e-05 2.47499e-05 1.58509e-05 0.00472421
3.89781e-05 2.47198e-05 1.58509e-05 0.00453373
4.70012e-05 2.46956e-05 1.58509e-05 0.00434829
5.5439e-05 2.46648e-05 1.58509e-05 0.00416671
6.42635e-05 2.46351e-05 1.58509e-05 0.00399505
7.34385e-05 2.46056e-05 1.58509e-05 0.00383517
8.29347e-05 2.45761e-05 1.58509e-05 0.00368566
9.27111e-05 2.45464e-05 1.58509e-05 0.00354666
0.000102742 2.45162e-05 1.5851e-05 0.00341523
0.000113005 2.44883e-05 1.5851e-05 0.00329206
0.000123478 2.44583e-05 1.5851e-05 0.00317484
0.000134145 2.44282e-05 1.5851e-05 0.00306545
0.000144987 2.43975e-05 1.5851e-05 0.00296115
0.000155986 2.43682e-05 1.5851e-05 0.00286635
0.000167139 2.43387e-05 1.5851e-05 0.00277824
0.000178433 2.43097e-05 1.58511e-05 0.00269415
0.000189844 2.42795e-05 1.58511e-05 0.00261363
0.000201361 2.42513e-05 1.58511e-05 0.00254051
0.000212976 2.42222e-05 1.58511e-05 0.00247185
0.00022468 2.41934e-05 1.58511e-05 0.0024085
0.000236463 2.4164e-05 1.58512e-05 0.00234952
0.000248327 2.41363e-05 1.58512e-05 0.00229586
0.000260269 2.41085e-05 1.58512e-05 0.00224394
0.000272281 2.40808e-05 1.58512e-05 0.00219441
0.000284353 2.40531e-05 1.58513e-05 0.00214598
0.000296482 2.40258e-05 1.58513e-05 0.00210182
0.000308654 2.39986e-05 1.58513e-05 0.0020615
0.000320865 2.39721e-05 1.58514e-05 0.00202522
0.000333109 2.39456e-05 1.58514e-05 0.00199144
0.000345383 2.39188e-05 1.58514e-05 0.00195778
0.000357695 2.38927e-05 1.58514e-05 0.00192584
0.000370042 2.38666e-05 1.58515e-05 0.00189541
0.000382424 2.38409e-05 1.58515e-05 0.00186654
0.000394835 2.38145e-05 1.58515e-05 0.00183796
0.000407272 2.37893e-05 1.58516e-05 0.00180928
0.000419734 2.37637e-05 1.58516e-05 0.00178209
0.000432226 2.37379e-05 1.58517e-05 0.00175735
0.000444748 2.37139e-05 1.58517e-05 0.00173287
0.000457301 2.36876e-05 1.58517e-05 0.00170981
0.000469778 2.36636e-05 1.58518e-05 0.00168719
0.000482255 2.3639e-05 1.58518e-05 0.00166519
0.000494732 2.36153e-05 1.58519e-05 0.00164381
0.000507208 2.35914e-05 1.58519e-05 0.00162335
0.000519685 2.35674e-05 1.58519e-05 0.00160221
0.000532162 2.35441e-05 1.5852e-05 0.00158334
0.000544639 2.3521e-05 1.5852e-05 0.00156461
0.000557115 2.34979e-05 1.58521e-05 0.00154813
0.000569592 2.34747e-05 1.58521e-05 0.00153147
0.000582069 2.34522e-05 1.58521e-05 0.00151486
0.000594546 2.34294e-05 1.58522e-05 0.00149661
0.000607023 2.34071e-05 1.58522e-05 0.00147844
0.000619499 2.33845e-05 1.58523e-05 0.00146021
0.000631976 2.3362e-05 1.58523e-05 0.00144225
0.000644448 2.33395e-05 1.58524e-05 0.001424
0.00065692 2.33175e-05 1.58524e-05 0.00140782
0.000669391 2.32954e-05 1.58525e-05 0.00139158
0.000681863 2.32728e-05 1.58525e-05 0.00137651
0.000694335 2.3252e-05 1.58526e-05 0.00136085
0.000706806 2.32295e-05 1.58526e-05 0.00134669
0.000719278 2.32082e-05 1.58527e-05 0.00133191
0.00073175 2.31864e-05 1.58527e-05 0.00131828
0.000744221 2.31653e-05 1.58528e-05 0.00130572
0.000756693 2.31437e-05 1.58528e-05 0.00129448
0.000769165 2.31225e-05 1.58529e-05 0.00128169
0.000781637 2.31016e-05 1.58529e-05 0.00127012
0.000794108 2.30801e-05 1.5853e-05 0.00125787
0.000806575 2.30595e-05 1.5853e-05 0.00124696
0.000819041 2.3039e-05 1.58531e-05 0.00123578
0.000831508 2.30183e-05 1.58531e-05 0.00122545
0.000843975 2.29974e-05 1.58532e-05 0.0012131
0.000856441 2.2977e-05 1.58532e-05 0.00120024
0.000868908 2.29566e-05 1.58533e-05 0.00118627
0.000881374 2.29361e-05 1.58533e-05 0.00117415
0.000893841 2.29154e-05 1.58534e-05 0.00116222
